x-axis,1,3,MATH1
second,Volt,Volt,Volt
+748.0000E-06,+1.6834170674E+00,-1.6934673185E+00,+3.3691406250E+00
+748.2500E-06,+1.7964823928E+00,-1.8040200812E+00,+3.5961914062E+00
+748.5000E-06,+1.6457286256E+00,-2.0527637971E+00,+3.6914062500E+00
+748.7500E-06,+1.7010050069E+00,-2.1934673132E+00,+3.8888549805E+00
+749.0000E-06,+1.8492462113E+00,-2.0125627925E+00,+3.8598632812E+00
+749.2500E-06,+1.9472361601E+00,-1.9924622902E+00,+3.9355468750E+00
+749.5000E-06,+1.7738693277E+00,-2.1658291225E+00,+3.9355468750E+00
+749.7500E-06,+1.7462311371E+00,-2.1708542481E+00,+3.9135742188E+00
+750.0000E-06,+1.8492462113E+00,-2.0125627925E+00,+3.8598632812E+00
+750.2500E-06,+1.9120602810E+00,-1.8668341509E+00,+3.7695312500E+00
+750.5000E-06,+1.6457286256E+00,-2.0100502297E+00,+3.6499023438E+00
+750.7500E-06,+1.5854271187E+00,-1.9748743507E+00,+3.5571289062E+00
+751.0000E-06,+1.6105527466E+00,-1.7663316394E+00,+3.3691406250E+00
+751.2500E-06,+1.5452261141E+00,-1.6532663139E+00,+3.1958007812E+00
+751.5000E-06,+1.2864321470E+00,-1.6457286256E+00,+2.9272460938E+00
+751.7500E-06,+1.1708542588E+00,-1.5628140536E+00,+2.7246093750E+00
+752.0000E-06,+1.1306532542E+00,-1.2839195842E+00,+2.4050903320E+00
+752.2500E-06,+1.0276381799E+00,-1.1256281286E+00,+2.1508789062E+00
+752.5000E-06,+804.0200919E-03,-1.1256281286E+00,+1.9238281250E+00
+752.7500E-06,+736.1808967E-03,-929.6482312E-03,+1.6577148438E+00
+753.0000E-06,+718.5929571E-03,-489.9497435E-03,+1.2036132812E+00
+753.2500E-06,+339.1959763E-03,-625.6281340E-03,+957.0312500E-03
+753.5000E-06,+75.3768836E-03,-567.8391899E-03,+634.7656250E-03
+753.7500E-06,+0.0E+00,-321.6080368E-03,+312.5000000E-03
+754.0000E-06,-77.8894464E-03,-77.8894464E-03,+0.0E+00
+754.2500E-06,-339.1959763E-03,+0.0E+00,-341.4916992E-03
+754.5000E-06,-680.9045153E-03,+42.7135674E-03,-732.4218750E-03
+754.7500E-06,-723.6180827E-03,+356.7839158E-03,-1.0861206055E+00
+755.0000E-06,-648.2411991E-03,+716.0803944E-03,-1.3647460938E+00
+755.2500E-06,-982.4120498E-03,+625.6281340E-03,-1.6113281250E+00
+755.5000E-06,-1.2914572726E+00,+638.1909480E-03,-1.9335937500E+00
+755.7500E-06,-1.3090452121E+00,+919.5979801E-03,-2.2338867188E+00
+756.0000E-06,-1.3618090307E+00,+1.2060301378E+00,-2.5729370117E+00
+756.2500E-06,-1.5452261141E+00,+1.2060301378E+00,-2.7536010742E+00
+756.5000E-06,-1.7261306348E+00,+1.2537688308E+00,-2.9833984375E+00
+756.7500E-06,-1.8391959603E+00,+1.3768844073E+00,-3.2226562500E+00
+757.0000E-06,-1.6934673185E+00,+1.6859296302E+00,-3.3816528320E+00
+757.2500E-06,-1.8216080207E+00,+1.6708542534E+00,-3.5009765625E+00
+757.5000E-06,-2.0527637971E+00,+1.6030150582E+00,-3.6596679688E+00
+757.7500E-06,-1.9522612856E+00,+1.8266331463E+00,-3.7792968750E+00
+758.0000E-06,-2.0075376670E+00,+1.8517587741E+00,-3.8671875000E+00
+758.2500E-06,-2.0728642994E+00,+1.8040200812E+00,-3.8842773438E+00
+758.5000E-06,-2.1281406807E+00,+1.8115577695E+00,-3.9453125000E+00
+758.7500E-06,-2.0452261088E+00,+1.9522612856E+00,-4.0014648438E+00
+759.0000E-06,-2.0075376670E+00,+1.9321607833E+00,-3.9453125000E+00
+759.2500E-06,-1.9472361601E+00,+1.8316582718E+00,-3.7792968750E+00
+759.5000E-06,-1.9723617879E+00,+1.7261306348E+00,-3.7011718750E+00
+759.7500E-06,-1.6758793790E+00,+1.8844220904E+00,-3.5668945312E+00
+760.0000E-06,-1.6080401838E+00,+1.7688442022E+00,-3.3789062500E+00
+760.2500E-06,-1.8140703323E+00,+1.4195979748E+00,-3.2397460938E+00
