x-axis,1,3,MATH1
second,Volt,Volt,Volt
+748.0000E-06,+1.6055276210E+00,-1.9296482205E+00,+3.5327148438E+00
+748.2500E-06,+1.7236180720E+00,-1.8316582718E+00,+3.5522460938E+00
+748.5000E-06,+1.8442210858E+00,-1.8542713369E+00,+3.6914062500E+00
+748.7500E-06,+1.7110552581E+00,-2.0678391738E+00,+3.7695312500E+00
+749.0000E-06,+1.6909547558E+00,-2.1658291225E+00,+3.8546752930E+00
+749.2500E-06,+2.0100502297E+00,-1.8492462113E+00,+3.8574218750E+00
+749.5000E-06,+1.9346733461E+00,-1.8442210858E+00,+3.7695312500E+00
+749.7500E-06,+1.7688442022E+00,-1.9874371646E+00,+3.7475585938E+00
+750.0000E-06,+1.6884421930E+00,-1.9321607833E+00,+3.6157226562E+00
+750.2500E-06,+1.8944723415E+00,-1.7060301325E+00,+3.5961914062E+00
+750.5000E-06,+1.8065326440E+00,-1.6507537512E+00,+3.4570312500E+00
+750.7500E-06,+1.5628140536E+00,-1.7336683231E+00,+3.2910156250E+00
+751.0000E-06,+1.4497487282E+00,-1.6859296302E+00,+3.1347656250E+00
+751.2500E-06,+1.3567839051E+00,-1.5201004862E+00,+2.8735351562E+00
+751.5000E-06,+1.3291457144E+00,-1.2814070215E+00,+2.6049804688E+00
+751.7500E-06,+1.0904522496E+00,-1.3216080261E+00,+2.4023437500E+00
+752.0000E-06,+969.8492358E-03,-1.1231155659E+00,+2.0922851562E+00
+752.2500E-06,+1.0100502404E+00,-839.1959709E-03,+1.8457031250E+00
+752.5000E-06,+761.3065245E-03,-846.7336593E-03,+1.6015625000E+00
+752.7500E-06,+517.5879342E-03,-733.6683338E-03,+1.2451171875E+00
+753.0000E-06,+479.8994924E-03,-484.9246179E-03,+957.0312500E-03
+753.2500E-06,+321.6080368E-03,-384.4221064E-03,+703.4301758E-03
+753.5000E-06,+37.6884418E-03,-283.9195949E-03,+312.5000000E-03
+753.7500E-06,-218.5929625E-03,-276.3819066E-03,+56.1523438E-03
+754.0000E-06,-319.0954740E-03,+2.5125628E-03,-322.2656250E-03
+754.2500E-06,-339.1959763E-03,+304.0200972E-03,-644.5312500E-03
+754.5000E-06,-557.7889388E-03,+246.2311531E-03,-810.5468750E-03
+754.7500E-06,-907.0351662E-03,+356.7839158E-03,-1.2670898438E+00
+755.0000E-06,-889.4472266E-03,+638.1909480E-03,-1.5332031250E+00
+755.2500E-06,-919.5979801E-03,+866.8341616E-03,-1.7944335938E+00
+755.5000E-06,-1.2060301378E+00,+841.7085337E-03,-2.0529174805E+00
+755.7500E-06,-1.5050251095E+00,+826.6331570E-03,-2.3339843750E+00
+756.0000E-06,-1.5251256118E+00,+1.0477386822E+00,-2.5781250000E+00
+756.2500E-06,-1.5276381746E+00,+1.3492462167E+00,-2.8833007812E+00
+756.5000E-06,-1.7638190766E+00,+1.2914572726E+00,-3.0566406250E+00
+756.7500E-06,-1.9648240996E+00,+1.2864321470E+00,-3.2568359375E+00
+757.0000E-06,-1.7763818905E+00,+1.6030150582E+00,-3.3816528320E+00
+757.2500E-06,-1.8492462113E+00,+1.6256281233E+00,-3.4838867188E+00
+757.5000E-06,-2.0150753553E+00,+1.6030150582E+00,-3.6230468750E+00
+757.7500E-06,-2.0904522389E+00,+1.5854271187E+00,-3.6791992188E+00
+758.0000E-06,-2.1658291226E+00,+1.6155778721E+00,-3.7820434570E+00
+758.2500E-06,-2.1005024900E+00,+1.6783919419E+00,-3.7792968750E+00
+758.5000E-06,-2.1281406807E+00,+1.6130653093E+00,-3.7426757812E+00
+758.7500E-06,-2.1256281180E+00,+1.6532663139E+00,-3.7792968750E+00
+759.0000E-06,-1.9346733461E+00,+1.8442210858E+00,-3.7792968750E+00
+759.2500E-06,-1.8668341509E+00,+1.7688442022E+00,-3.6401367188E+00
+759.5000E-06,-1.9346733461E+00,+1.5226130491E+00,-3.4667968750E+00
+759.7500E-06,-1.8366833974E+00,+1.5628140536E+00,-3.4036254883E+00
+760.0000E-06,-1.6080401838E+00,+1.5301507374E+00,-3.1469726562E+00
+760.2500E-06,-1.5100502351E+00,+1.4020100353E+00,-2.9174804688E+00
+760.5000E-06,-1.5703517420E+00,+1.2437185797E+00,-2.8222656250E+00
+760.7500E-06,-1.4020100353E+00,+1.0904522496E+00,-2.5000000000E+00
+761.0000E-06,-1.0477386822E+00,+1.2035175751E+00,-2.2558593750E+00
+761.2500E-06,-919.5979801E-03,+1.0728643101E+00,-1.9946289062E+00
+761.5000E-06,-1.0025125521E+00,+685.9296409E-03,-1.6894531250E+00
+761.7500E-06,-711.0552687E-03,+678.3919526E-03,-1.3919067383E+00
+762.0000E-06,-407.0351715E-03,+638.1909480E-03,-1.0546875000E+00
+762.2500E-06,-339.1959763E-03,+464.8241156E-03,-810.5468750E-03
+762.5000E-06,-364.3216041E-03,+118.0904510E-03,-488.2812500E-03
+762.7500E-06,-253.7688416E-03,-92.9648232E-03,-166.0156250E-03
+763.0000E-06,+80.4020092E-03,-80.4020092E-03,+156.2500000E-03
+763.2500E-06,+223.6180880E-03,-258.7939671E-03,+478.5156250E-03
+763.5000E-06,+246.2311531E-03,-557.7889388E-03,+800.7812500E-03
+763.7500E-06,+379.3969809E-03,-665.8291386E-03,+1.0449218750E+00
+764.0000E-06,+798.9949664E-03,-648.2411990E-03,+1.4453125000E+00
+764.2500E-06,+804.0200919E-03,-947.2361707E-03,+1.7483520508E+00
+764.5000E-06,+836.6834082E-03,-1.1733668215E+00,+2.0019531250E+00
+764.7500E-06,+987.4371753E-03,-1.2638190820E+00,+2.2460937500E+00
+765.0000E-06,+1.2060301378E+00,-1.3643215935E+00,+2.5659179688E+00
+765.2500E-06,+1.1783919473E+00,-1.5552763652E+00,+2.7246093750E+00
+765.5000E-06,+1.2487437052E+00,-1.6834170674E+00,+2.9272460938E+00
+765.7500E-06,+1.4472361654E+00,-1.6884421930E+00,+3.1347656250E+00
+766.0000E-06,+1.6055276210E+00,-1.6130653093E+00,+3.2153320312E+00
+766.2500E-06,+1.5452261141E+00,-1.9120602810E+00,+3.4570312500E+00
+766.5000E-06,+1.5603014909E+00,-2.0150753553E+00,+3.5717773438E+00
+766.7500E-06,+1.8040200812E+00,-1.9296482205E+00,+3.7255859376E+00
+767.0000E-06,+1.8517587741E+00,-2.0050251042E+00,+3.8546752930E+00
+767.2500E-06,+1.7060301325E+00,-2.1356783690E+00,+3.8381958008E+00
+767.5000E-06,+1.6884421930E+00,-2.1708542481E+00,+3.8574218750E+00
+767.7500E-06,+1.7914572672E+00,-2.0100502297E+00,+3.7942504883E+00
+768.0000E-06,+1.9271356578E+00,-1.7738693277E+00,+3.6938476562E+00
+768.2500E-06,+1.7512562626E+00,-1.9296482205E+00,+3.6743164062E+00
+768.5000E-06,+1.6030150583E+00,-1.9723617879E+00,+3.5717773438E+00
+768.7500E-06,+1.7236180720E+00,-1.6758793789E+00,+3.3938598632E+00
+769.0000E-06,+1.7638190766E+00,-1.4572864164E+00,+3.2177734374E+00
+769.2500E-06,+1.4020100353E+00,-1.6356783744E+00,+3.0297851562E+00
+769.5000E-06,+1.2864321470E+00,-1.5276381746E+00,+2.8125000000E+00
+769.7500E-06,+1.2738693330E+00,-1.3216080261E+00,+2.5903320312E+00
+770.0000E-06,+1.2085427006E+00,-1.1256281286E+00,+2.3266601562E+00
+770.2500E-06,+1.0728643100E+00,-1.0175879289E+00,+2.0898437500E+00
+770.5000E-06,+846.7336592E-03,-959.7989848E-03,+1.8041992188E+00
+770.7500E-06,+839.1959710E-03,-665.8291386E-03,+1.5014648438E+00
+771.0000E-06,+640.7035108E-03,-562.8140643E-03,+1.1987304688E+00
+771.2500E-06,+276.3819067E-03,-545.2261248E-03,+817.8710938E-03
+771.5000E-06,+198.4924602E-03,-364.3216041E-03,+556.6406250E-03
+771.7500E-06,+125.6281393E-03,-115.5778883E-03,+234.3750000E-03
+772.0000E-06,-233.6683393E-03,-228.6432138E-03,-5.1879882E-03
+772.2500E-06,-321.6080368E-03,+0.0E+00,-322.2656250E-03
+772.5000E-06,-525.1256225E-03,+160.8040184E-03,-691.2231445E-03
+772.7500E-06,-540.2009993E-03,+482.4120551E-03,-1.0299682618E+00
+773.0000E-06,-723.6180827E-03,+560.3015016E-03,-1.2866210938E+00
+773.2500E-06,-1.1080401891E+00,+499.9999947E-03,-1.6113281250E+00
+773.5000E-06,-1.1306532542E+00,+718.5929572E-03,-1.8554687500E+00
+773.7500E-06,-1.1256281286E+00,+1.0452261195E+00,-2.1777343750E+00
+774.0000E-06,-1.4422110399E+00,+891.9597893E-03,-2.3364257812E+00
+774.2500E-06,-1.6884421930E+00,+902.0100406E-03,-2.5952148438E+00
+774.5000E-06,-1.6884421930E+00,+1.2060301378E+00,-2.9003906250E+00
+774.7500E-06,-1.6884421930E+00,+1.3894472213E+00,-3.0813598632E+00
+775.0000E-06,-1.6959798812E+00,+1.5226130491E+00,-3.2250976562E+00
+775.2500E-06,-2.0628140484E+00,+1.3944723468E+00,-3.4667968750E+00
+775.5000E-06,-2.0527637971E+00,+1.5276381746E+00,-3.5864257812E+00
+775.7500E-06,-1.9396984715E+00,+1.7010050070E+00,-3.6450195312E+00
+776.0000E-06,-2.0929648017E+00,+1.6884421930E+00,-3.7820434570E+00
+776.2500E-06,-2.2336683177E+00,+1.5452261141E+00,-3.7792968750E+00
+776.5000E-06,-2.1708542481E+00,+1.6934673185E+00,-3.8674926757E+00
+776.7500E-06,-2.1030150530E+00,+1.7914572672E+00,-3.8986206055E+00
+777.0000E-06,-2.0929648017E+00,+1.6859296302E+00,-3.7792968750E+00
+777.2500E-06,-2.0452261088E+00,+1.6532663139E+00,-3.7011718750E+00
+777.5000E-06,-1.9673366624E+00,+1.6457286256E+00,-3.6181640626E+00
+777.7500E-06,-1.7562813881E+00,+1.7236180721E+00,-3.4887695312E+00
+778.0000E-06,-1.8492462113E+00,+1.5251256118E+00,-3.3764648438E+00
+778.2500E-06,-1.8140703322E+00,+1.3216080261E+00,-3.1445312500E+00
+778.5000E-06,-1.4522612909E+00,+1.4045225981E+00,-2.8637695312E+00
+778.7500E-06,-1.3216080261E+00,+1.3542713422E+00,-2.6782226562E+00
+779.0000E-06,-1.3643215935E+00,+1.0502512449E+00,-2.4148559570E+00
+779.2500E-06,-1.2060301378E+00,+964.8241103E-03,-2.1777343750E+00
+779.5000E-06,-836.6834083E-03,+1.0502512449E+00,-1.8920898438E+00
+779.7500E-06,-665.8291386E-03,+942.2110452E-03,-1.6113281250E+00
+780.0000E-06,-723.6180827E-03,+643.2160735E-03,-1.3671875000E+00
+780.2500E-06,-670.8542640E-03,+374.3718554E-03,-1.0546875000E+00
+780.5000E-06,-246.2311531E-03,+477.3869296E-03,-732.4218750E-03
+780.7500E-06,-138.1909533E-03,+263.8190926E-03,-410.1562500E-03
+781.0000E-06,-155.7788929E-03,-75.3768837E-03,-87.8906250E-03
+781.2500E-06,+0.0E+00,-241.2060276E-03,+234.3750000E-03
+781.5000E-06,+326.6331622E-03,-193.4673347E-03,+515.1367188E-03
+781.7500E-06,+540.2009993E-03,-344.2211018E-03,+878.9062500E-03
+782.0000E-06,+560.3015016E-03,-648.2411990E-03,+1.2036132812E+00
+782.2500E-06,+625.6281340E-03,-947.2361707E-03,+1.5673828124E+00
+782.5000E-06,+879.3969756E-03,-927.1356684E-03,+1.8041992188E+00
+782.7500E-06,+942.2110452E-03,-1.0678391845E+00,+2.0019531250E+00
+783.0000E-06,+964.8241103E-03,-1.3643215935E+00,+2.3217773438E+00
+783.2500E-06,+1.0628140590E+00,-1.4472361654E+00,+2.5073242188E+00
+783.5000E-06,+1.3718592817E+00,-1.4422110399E+00,+2.8125000000E+00
+783.7500E-06,+1.3668341562E+00,-1.6080401838E+00,+2.9687500000E+00
+784.0000E-06,+1.4396984772E+00,-1.7738693276E+00,+3.2104492188E+00
+784.2500E-06,+1.5728643047E+00,-1.8040200813E+00,+3.3691406250E+00
+784.5000E-06,+1.6457286256E+00,-1.8115577695E+00,+3.4570312500E+00
+784.7500E-06,+1.6658291279E+00,-1.9522612856E+00,+3.6132812500E+00
+785.0000E-06,+1.6080401838E+00,-2.1683416854E+00,+3.7670898438E+00
+785.2500E-06,+1.7060301325E+00,-2.0728642994E+00,+3.7695312500E+00
+785.5000E-06,+1.8919597787E+00,-1.9296482205E+00,+3.8162231445E+00
+785.7500E-06,+1.7336683230E+00,-2.1030150530E+00,+3.8327026368E+00
+786.0000E-06,+1.6105527465E+00,-2.1683416854E+00,+3.7695312500E+00
+786.2500E-06,+1.7512562626E+00,-1.9472361601E+00,+3.6914062500E+00
+786.5000E-06,+1.8492462113E+00,-1.7688442022E+00,+3.6132812500E+00
+786.7500E-06,+1.6432160629E+00,-1.8140703322E+00,+3.4570312500E+00
+787.0000E-06,+1.4472361654E+00,-1.9271356578E+00,+3.3666992188E+00
+787.2500E-06,+1.4195979749E+00,-1.7336683230E+00,+3.1518554688E+00
+787.5000E-06,+1.5653266165E+00,-1.4522612909E+00,+3.0102539062E+00
+787.7500E-06,+1.3090452121E+00,-1.4824120445E+00,+2.7877807618E+00
+788.0000E-06,+1.0502512449E+00,-1.5226130491E+00,+2.5683593750E+00
+788.2500E-06,+1.0452261195E+00,-1.2060301378E+00,+2.2460937500E+00
+788.5000E-06,+1.0452261195E+00,-964.8241103E-03,+2.0019531250E+00
+788.7500E-06,+781.4070269E-03,-964.8241103E-03,+1.7428588868E+00
+789.0000E-06,+638.1909480E-03,-809.0452174E-03,+1.4453125000E+00
+789.2500E-06,+499.9999947E-03,-625.6281339E-03,+1.1230468750E+00
+789.5000E-06,+311.5577858E-03,-454.7738642E-03,+764.1601562E-03
+789.7500E-06,+173.3668325E-03,-309.0452227E-03,+478.5156250E-03
+790.0000E-06,-233.6683394E-03,-396.9849205E-03,+158.6914062E-03
+790.2500E-06,-160.8040184E-03,-17.5879396E-03,-148.9257812E-03
+790.5000E-06,-316.5829113E-03,+165.8291438E-03,-488.2812500E-03
+790.7500E-06,-585.4271294E-03,+138.1909534E-03,-732.4218750E-03
