Frequency (Hz),Vpbtl (Vrms),THD (%)
1000,2.347929,9.9e+37
2000,2.356673,1.234
3000,2.352585,0.542
4000,2.349455,0.477
5000,2.352687,0.535
6000,2.357545,0.517
7000,2.357348,0.682
8000,2.36168,0.594
9000,2.374224,0.593
10000,2.381972,0.641
11000,2.391808,0.712
12000,2.400417,0.734
13000,2.415548,0.666
14000,2.432641,0.725
15000,2.44703,0.874
16000,2.461118,0.79
17000,2.475486,0.852
18000,2.494396,0.979
19000,2.508953,1.072
20000,2.525914,1.167
21000,2.543008,1.198
22000,2.559851,1.134
23000,2.5802,1.234
24000,2.598488,1.31
25000,2.619678,1.303
26000,2.63854,1.534
27000,2.656984,1.374
28000,2.674133,1.517
29000,2.694529,1.352
30000,2.715657,1.384
31000,2.731425,1.478
32000,2.752361,1.551
33000,2.768019,1.402
34000,2.785602,1.558
35000,2.801574,1.365
36000,2.809883,1.407
37000,2.823025,1.346
38000,2.833381,1.412
39000,2.843015,1.42
40000,2.851065,1.551
41000,2.856584,1.518
42000,2.863662,1.509
43000,2.868144,1.374
44000,2.870633,1.291
45000,2.870622,1.453
46000,2.869725,1.225
47000,2.86767,1.278
48000,2.861288,1.283
49000,2.853846,1.333
50000,2.845916,1.096
51000,2.833494,1.301
52000,2.820521,1.113
53000,2.804347,1.261
54000,2.786646,1.089
55000,2.766403,1.088
56000,2.744213,1.225
57000,2.717282,1.072
58000,2.69329,0.968
59000,2.667795,0.941
60000,2.639139,1.015
61000,2.610754,0.903
62000,2.582051,0.163
63000,2.551533,0.211
64000,2.515488,0.288
65000,2.482742,0.226
66000,2.448178,0.203
67000,2.411186,0.261
68000,2.373633,0.213
69000,2.336739,0.226
70000,2.297487,0.195
71000,2.262697,0.326
72000,2.222975,0.249
73000,2.179429,0.23
74000,2.140897,0.191
75000,2.101018,0.216
76000,2.062716,0.261
77000,2.026031,0.262
78000,1.991425,0.275
79000,1.945377,0.285
80000,1.903714,0.234
