Frequency (Hz),Vpbtl (Vrms),THD (%)
1000,2.34833,9.9e+37
2000,2.353086,1.243
3000,2.349621,0.604
4000,2.347036,0.598
5000,2.348496,0.61
6000,2.348873,0.627
7000,2.354828,0.598
8000,2.356655,0.633
9000,2.366277,0.643
10000,2.372975,0.621
11000,2.381187,0.685
12000,2.390178,0.631
13000,2.402368,0.688
14000,2.415861,0.702
15000,2.426586,0.807
16000,2.44312,0.833
17000,2.454078,0.887
18000,2.468232,0.897
19000,2.485173,0.991
20000,2.501212,1.143
21000,2.512597,1.019
22000,2.530089,1.196
23000,2.543202,1.059
24000,2.559891,1.204
25000,2.576202,1.221
26000,2.59262,1.231
27000,2.606663,1.281
28000,2.627086,1.313
29000,2.64062,1.254
30000,2.653883,1.273
31000,2.672903,1.485
32000,2.687915,1.229
33000,2.698452,1.271
34000,2.712263,1.281
35000,2.723688,1.335
36000,2.734873,1.385
37000,2.740788,1.271
38000,2.752929,1.377
39000,2.757147,1.407
40000,2.759968,1.263
41000,2.767504,1.387
42000,2.768019,1.307
43000,2.770265,1.274
44000,2.769782,1.191
45000,2.768431,1.382
46000,2.766397,1.311
47000,2.762964,1.334
48000,2.759405,1.229
49000,2.754059,1.168
50000,2.741069,1.302
51000,2.736403,1.081
52000,2.720544,1.015
53000,2.702351,1.069
54000,2.687875,0.958
55000,2.667278,0.917
56000,2.648295,0.93
57000,2.628122,0.871
58000,2.603807,1.037
59000,2.57962,0.857
60000,2.559305,0.932
61000,2.531395,1.046
62000,2.504948,0.232
63000,2.47656,0.179
64000,2.445783,0.278
65000,2.421253,0.219
66000,2.387552,0.224
67000,2.354719,0.25
68000,2.323166,0.243
69000,2.290697,0.28
70000,2.255316,0.252
71000,2.223042,0.254
72000,2.186485,0.275
73000,2.147338,0.267
74000,2.115285,0.328
75000,2.079152,0.276
76000,2.047919,0.288
77000,2.009241,0.268
78000,1.974536,0.282
79000,1.937263,0.301
80000,1.903591,0.323
