Frequency (Hz),Vpbtl (Vrms),THD (%)
1000,2.35358,9.9e+37
2000,2.354534,1.148
3000,2.357912,0.463
4000,2.358245,0.387
5000,2.358534,0.414
6000,2.365339,0.407
7000,2.367189,0.498
8000,2.37596,0.472
9000,2.38009,0.583
10000,2.388462,0.58
11000,2.400707,0.652
12000,2.408339,0.67
13000,2.426932,0.725
14000,2.436912,0.756
15000,2.453867,0.812
16000,2.466916,0.891
17000,2.480035,0.896
18000,2.502604,0.936
19000,2.515053,0.951
20000,2.534157,0.979
21000,2.554381,0.94
22000,2.569687,1.028
23000,2.585881,1.092
24000,2.605369,1.102
25000,2.621028,1.067
26000,2.643494,1.126
27000,2.658463,1.133
28000,2.678205,1.125
29000,2.698825,1.139
30000,2.71852,1.125
31000,2.735711,1.113
32000,2.750327,1.092
33000,2.769557,1.083
34000,2.786823,1.109
35000,2.799631,1.136
36000,2.8086,1.143
37000,2.819399,1.16
38000,2.833934,1.091
39000,2.841682,1.105
40000,2.851794,1.122
41000,2.852071,1.128
42000,2.859154,1.115
43000,2.86527,1.078
44000,2.864925,1.028
45000,2.867758,1.077
46000,2.863166,0.988
47000,2.864364,0.981
48000,2.858395,0.957
49000,2.848809,0.918
50000,2.840936,0.925
51000,2.837994,0.867
52000,2.818744,0.878
53000,2.8033,0.845
54000,2.787549,0.77
55000,2.766559,0.772
56000,2.745845,0.74
57000,2.721375,0.7
58000,2.69389,0.717
59000,2.670009,0.704
60000,2.643191,0.676
61000,2.615938,0.745
63000,2.55304,0.163
64000,2.521848,0.258
65000,2.487412,0.237
66000,2.452225,0.217
67000,2.416514,0.206
68000,2.383103,0.235
69000,2.346537,0.307
70000,2.306481,0.221
71000,2.269304,0.218
72000,2.228928,0.224
73000,2.190664,0.232
74000,2.151048,0.255
75000,2.110652,0.239
76000,2.075281,0.223
77000,2.037471,0.275
78000,2.000342,0.263
79000,1.962673,0.253
80000,1.922261,0.281
