Frequency (Hz),Vpbtl (Vrms),THD (%)
1000,2.351371,9.9e+37
2000,2.355983,1.171
3000,2.357601,0.517
4000,2.353276,0.446
5000,2.352007,0.416
6000,2.35319,0.47
7000,2.354528,0.441
8000,2.355139,0.468
9000,2.35656,0.46
10000,2.359474,0.461
11000,2.364575,0.486
12000,2.371693,0.447
13000,2.374008,0.492
14000,2.379842,0.578
15000,2.387735,0.551
16000,2.393106,0.623
17000,2.398854,0.568
18000,2.405614,0.595
19000,2.414149,0.63
20000,2.42153,0.619
21000,2.425255,0.587
22000,2.432254,0.576
23000,2.437353,0.637
24000,2.446194,0.681
25000,2.450045,0.642
26000,2.45908,0.639
27000,2.464317,0.693
28000,2.471016,0.702
29000,2.480908,0.702
30000,2.48714,0.686
31000,2.489071,0.781
32000,2.49855,0.772
33000,2.50406,0.769
34000,2.507063,0.768
35000,2.509021,0.778
36000,2.5161,0.796
37000,2.515862,0.778
38000,2.519144,0.79
39000,2.520098,0.778
40000,2.519713,0.846
41000,2.518756,0.798
42000,2.514453,0.831
43000,2.51885,0.807
44000,2.511354,0.832
45000,2.514808,0.765
46000,2.509328,0.818
47000,2.502416,0.832
48000,2.504192,0.852
49000,2.495664,0.732
50000,2.492788,0.772
51000,2.48242,0.748
52000,2.473663,0.746
53000,2.465235,0.649
54000,2.455975,0.749
55000,2.44163,0.754
56000,2.432141,0.749
57000,2.416029,0.691
58000,2.402392,0.687
59000,2.388928,0.695
60000,2.37478,0.752
61000,2.360436,0.654
62000,2.343264,0.296
63000,2.328055,0.248
64000,2.312854,0.356
65000,2.293535,0.29
66000,2.272171,0.293
67000,2.257226,0.323
68000,2.235695,0.32
69000,2.214065,0.292
70000,2.196809,0.312
71000,2.17241,0.342
72000,2.150005,0.333
73000,2.126184,0.388
74000,2.103326,0.378
75000,2.081916,0.337
76000,2.061087,0.337
77000,2.036704,0.365
78000,2.017034,0.361
79000,1.990736,0.414
80000,1.96762,0.434
